origin,destination,city_origin,city_destination,direction,passenger_volume,weight,reference_period,source,effective_from
DEL,BOM,DELHI,MUMBAI,forward,3426228,0.06421755534900013,2024-25,DGCA Table 5.01,2024-04-01
BOM,DEL,MUMBAI,DELHI,reverse,3424641,0.06418781031733882,2024-25,DGCA Table 5.01,2024-04-01
BLR,DEL,BENGALURU,DELHI,forward,2331024,0.04369022223268494,2024-25,DGCA Table 5.01,2024-04-01
DEL,BLR,DELHI,BENGALURU,reverse,2350018,0.04404622546606547,2024-25,DGCA Table 5.01,2024-04-01
BLR,BOM,BENGALURU,MUMBAI,forward,2030837,0.03806383797350829,2024-25,DGCA Table 5.01,2024-04-01
BOM,BLR,MUMBAI,BENGALURU,reverse,2083737,0.03905533902888526,2024-25,DGCA Table 5.01,2024-04-01
DEL,HYD,DELHI,HYDERABAD,forward,1638188,0.030704444818636652,2024-25,DGCA Table 5.01,2024-04-01
HYD,DEL,HYDERABAD,DELHI,reverse,1657730,0.03107071917826192,2024-25,DGCA Table 5.01,2024-04-01
DEL,PNQ,DELHI,PUNE,forward,1469849,0.02754927853959879,2024-25,DGCA Table 5.01,2024-04-01
PNQ,DEL,PUNE,DELHI,reverse,1454196,0.027255895439035168,2024-25,DGCA Table 5.01,2024-04-01
DEL,CCU,DELHI,KOLKATA,forward,1417339,0.026565087227352204,2024-25,DGCA Table 5.01,2024-04-01
CCU,DEL,KOLKATA,DELHI,reverse,1353047,0.025360066700843776,2024-25,DGCA Table 5.01,2024-04-01
AMD,DEL,AHMEDABAD,DELHI,forward,1262081,0.023655097230079674,2024-25,DGCA Table 5.01,2024-04-01
DEL,AMD,DELHI,AHMEDABAD,reverse,1274961,0.0238965061826932,2024-25,DGCA Table 5.01,2024-04-01
MAA,DEL,CHENNAI,DELHI,forward,1222119,0.022906092217320238,2024-25,DGCA Table 5.01,2024-04-01
DEL,MAA,DELHI,CHENNAI,reverse,1230642,0.02306583821911566,2024-25,DGCA Table 5.01,2024-04-01
HYD,BOM,HYDERABAD,MUMBAI,forward,1166588,0.021865278510209873,2024-25,DGCA Table 5.01,2024-04-01
BOM,HYD,MUMBAI,HYDERABAD,reverse,1186691,0.022242067654184225,2024-25,DGCA Table 5.01,2024-04-01
BLR,CCU,BENGALURU,KOLKATA,forward,1180899,0.022133508597232555,2024-25,DGCA Table 5.01,2024-04-01
CCU,BLR,KOLKATA,BENGALURU,reverse,1146081,0.021480917222069698,2024-25,DGCA Table 5.01,2024-04-01
DEL,SXR,DELHI,SRINAGAR,forward,1155836,0.021663754514984673,2024-25,DGCA Table 5.01,2024-04-01
SXR,DEL,SRINAGAR,DELHI,reverse,1159586,0.021734040506622927,2024-25,DGCA Table 5.01,2024-04-01
BLR,HYD,BENGALURU,HYDERABAD,forward,1153136,0.02161314860100513,2024-25,DGCA Table 5.01,2024-04-01
HYD,BLR,HYDERABAD,BENGALURU,reverse,1140466,0.02137567566392335,2024-25,DGCA Table 5.01,2024-04-01
CCU,BOM,KOLKATA,MUMBAI,forward,1071297,0.020079245862422986,2024-25,DGCA Table 5.01,2024-04-01
BOM,CCU,MUMBAI,KOLKATA,reverse,1095067,0.020524765334754,2024-25,DGCA Table 5.01,2024-04-01
MAA,BOM,CHENNAI,MUMBAI,forward,1046438,0.01961331533812023,2024-25,DGCA Table 5.01,2024-04-01
BOM,MAA,MUMBAI,CHENNAI,reverse,1066489,0.019989129849677195,2024-25,DGCA Table 5.01,2024-04-01
AMD,BOM,AHMEDABAD,MUMBAI,forward,1044930,0.019585050998016097,2024-25,DGCA Table 5.01,2024-04-01
BOM,AMD,MUMBAI,AHMEDABAD,reverse,1056513,0.019802150368988337,2024-25,DGCA Table 5.01,2024-04-01
BLR,PNQ,BENGALURU,PUNE,forward,939239,0.017604091866752453,2024-25,DGCA Table 5.01,2024-04-01
PNQ,BLR,PUNE,BENGALURU,reverse,941870,0.017653404518485852,2024-25,DGCA Table 5.01,2024-04-01
MAA,HYD,CHENNAI,HYDERABAD,forward,796010,0.01491956058772434,2024-25,DGCA Table 5.01,2024-04-01
HYD,MAA,HYDERABAD,CHENNAI,reverse,777815,0.014578532956295532,2024-25,DGCA Table 5.01,2024-04-01
GOI,DEL,DABOLIM,DELHI,forward,787149,0.014753479475215922,2024-25,DGCA Table 5.01,2024-04-01
DEL,GOI,DELHI,DABOLIM,reverse,774678,0.014519736381423747,2024-25,DGCA Table 5.01,2024-04-01
DEL,GAU,DELHI,GUWAHATI,forward,780850,0.014635417752194759,2024-25,DGCA Table 5.01,2024-04-01
GAU,DEL,GUWAHATI,DELHI,reverse,757793,0.014203261989740569,2024-25,DGCA Table 5.01,2024-04-01
GOI,BOM,DABOLIM,MUMBAI,forward,748000,0.014019712465443658,2024-25,DGCA Table 5.01,2024-04-01
BOM,GOI,MUMBAI,DABOLIM,reverse,753390,0.014120736864091708,2024-25,DGCA Table 5.01,2024-04-01
